TIME_STEP	STAGE	EPSILON	ACTION	REWARD	Qs_PREDICTED_EXAMPLE	Qs_TARGET_EXAMPLE	Loss
0	DELAY	1.0	0	0.1	NA	NA	NA
100	DELAY	1.0	1	0.1	NA	NA	NA
200	DELAY	1.0	1	0.1	NA	NA	NA
300	DELAY	1.0	0	0.1	NA	NA	NA
400	DELAY	1.0	0	0.1	NA	NA	NA
500	DELAY	1.0	0	0.1	NA	NA	NA
600	DELAY	1.0	1	-1	NA	NA	NA
700	DELAY	1.0	1	0.1	NA	NA	NA
800	DELAY	1.0	1	0.1	NA	NA	NA
900	DELAY	1.0	0	0.1	NA	NA	NA
1000	DELAY	1.0	0	0.1	NA	NA	NA
1100	DELAY	1.0	0	0.1	NA	NA	NA
1200	DELAY	1.0	0	0.1	NA	NA	NA
1300	DELAY	1.0	0	0.1	NA	NA	NA
1400	DELAY	1.0	0	0.1	NA	NA	NA
1500	DELAY	1.0	1	0.1	NA	NA	NA
1600	DELAY	1.0	0	0.1	NA	NA	NA
1700	DELAY	1.0	1	0.1	NA	NA	NA
1800	DELAY	1.0	0	0.1	NA	NA	NA
1900	DELAY	1.0	1	0.1	NA	NA	NA
2000	EXPLORATION	0.99998	1	0.1	NA	NA	NA
2100	EXPLORATION	0.99798	0	0.1	[ 199.86431885  187.50195312]	[ 207.43933334  187.50195312]	223.121
2200	EXPLORATION	0.99598	0	0.1	[ 166.66362     184.19680786]	[ 166.66362     177.42208801]	199.144
2300	EXPLORATION	0.99398	1	0.1	[ 357.06442261  384.89370728]	[ 372.64411804  384.89370728]	1150.94
2400	EXPLORATION	0.99198	0	0.1	[ 257.15704346  266.92971802]	[ 249.4455246   266.92971802]	709.465
2500	EXPLORATION	0.98998	0	0.1	[ 513.8850708   503.11422729]	[ 507.22224304  503.11422729]	505.461
2600	EXPLORATION	0.98798	0	0.1	[ 486.15893555  437.9899292 ]	[ 537.0117926  437.9899292]	848.011
2700	EXPLORATION	0.98598	0	0.1	[ 449.66287231  336.89013672]	[ 486.60031464  336.89013672]	2320.36
2800	EXPLORATION	0.98398	0	0.1	[ 329.19598389  231.07388306]	[ 339.81142426  231.07388306]	1522.79
2900	EXPLORATION	0.98198	0	0.1	[ 347.08502197  348.55621338]	[ 329.60105225  348.55621338]	530.214
3000	EXPLORATION	0.97998	0	0.1	[ 645.20239258  469.03094482]	[ 631.55437561  469.03094482]	555.834
3100	EXPLORATION	0.97798	1	0.1	[ 1063.33728027  1296.18737793]	[ -1.00000000e+00   1.29618738e+03]	49764.9
3200	EXPLORATION	0.97598	0	0.1	[ 1571.20825195  1601.07275391]	[ 1571.20825195  1618.14369751]	12884.2
3300	EXPLORATION	0.97398	1	0.1	[ 1824.24182129  1820.40698242]	[ 1801.33067749  1820.40698242]	4069.11
3400	EXPLORATION	0.97198	0	0.1	[ 1168.81958008  1163.83007812]	[ 1147.06865723  1163.83007812]	2574.1
3500	EXPLORATION	0.96998	0	0.1	[ 780.45874023  803.12805176]	[ 764.47251038  803.12805176]	959.656
3600	EXPLORATION	0.96798	0	0.1	[ 393.68222046  404.19781494]	[ 405.07223755  404.19781494]	1416.65
3700	EXPLORATION	0.96598	0	0.1	[ 628.77368164  612.0546875 ]	[ 624.5122876  612.0546875]	876.405
3800	EXPLORATION	0.96398	0	0.1	[ 462.33911133  599.72735596]	[ 555.55634644  599.72735596]	1318.85
3900	EXPLORATION	0.96198	0	0.1	[ 167.25169373  150.18740845]	[ 163.29103745  150.18740845]	2188.83
4000	EXPLORATION	0.95998	1	0.1	[ 104.9834137    96.17230988]	[ 104.9834137    69.68398148]	328.761
4100	EXPLORATION	0.95798	0	0.1	[ 314.49591064  309.68667603]	[ 299.22967224  309.68667603]	471.914
4200	EXPLORATION	0.95598	0	0.1	[ 282.1255188   306.97521973]	[ 292.45505463  306.97521973]	248.119
4300	EXPLORATION	0.95398	1	0.1	[ 477.92565918  483.92868042]	[ 461.20588409  483.92868042]	908.861
4400	EXPLORATION	0.95198	1	0.1	[ 474.60067749  457.96691895]	[ 474.60067749  486.67829285]	299.499
4500	EXPLORATION	0.94998	0	0.1	[ 523.39276123  492.75189209]	[ 540.86822449  492.75189209]	3344.23
4600	EXPLORATION	0.94798	1	0.1	[ 903.33898926  835.18365479]	[ 937.2979657   835.18365479]	1272.07
4700	EXPLORATION	0.94598	0	0.1	[ 424.22576904  430.99151611]	[ 418.6366394   430.99151611]	265.484
4800	EXPLORATION	0.94398	0	0.1	[ 1089.83618164  1043.30114746]	[ 1112.89758423  1043.30114746]	1747.74
4900	EXPLORATION	0.94198	0	0.1	[ 837.52032471  843.3067627 ]	[ 864.01784424  843.3067627 ]	1307.74
5000	EXPLORATION	0.93998	0	0.1	[-180.38687134 -143.39291382]	[-158.02558075 -143.39291382]	616.881
5100	EXPLORATION	0.93798	0	0.1	[ 243.11035156  273.70327759]	[ 221.15129257  273.70327759]	311.183
5200	EXPLORATION	0.93598	0	0.1	[ 284.8125      296.42547607]	[ 287.99694275  296.42547607]	413.391
5300	EXPLORATION	0.93398	0	0.1	[ -91.06693268 -136.32070923]	[ -55.91738167 -136.32070923]	196.534
5400	EXPLORATION	0.93198	0	0.1	[ 148.05020142  152.37298584]	[ 147.47611374  152.37298584]	149.837
5500	EXPLORATION	0.92998	0	0.1	[ 295.10678101  306.96008301]	[ 295.10678101  303.4336676 ]	115.061
5600	EXPLORATION	0.92798	0	0.1	[ 185.94425964  204.38995361]	[ 196.54724869  204.38995361]	97.7588
5700	EXPLORATION	0.92598	0	0.1	[ 80.14711761  79.63616943]	[ 80.14711761  73.06741554]	150.65
5800	EXPLORATION	0.92398	0	0.1	[ 239.30528259  241.52919006]	[ 236.30720825  241.52919006]	152.188
5900	EXPLORATION	0.92198	0	0.1	[ 235.79553223  229.29789734]	[ 235.29012283  229.29789734]	100.648
6000	EXPLORATION	0.91998	1	0.1	[ 113.54142761  132.28694153]	[ 121.72833405  132.28694153]	184.728
6100	EXPLORATION	0.91798	0	0.1	[ 168.94737244  187.4666748 ]	[ 163.23008392  187.4666748 ]	138.033
6200	EXPLORATION	0.91598	1	0.1	[ 279.5539856   289.72268677]	[ 285.82865906  289.72268677]	105.519
6300	EXPLORATION	0.91398	0	0.1	[ 154.85919189  170.71353149]	[ 164.37321548  170.71353149]	44.7318
6400	EXPLORATION	0.91198	0	0.1	[ 206.08770752  219.78741455]	[ 206.08770752  217.51983734]	75.5883
6500	EXPLORATION	0.90998	0	0.1	[ 17.42773247  -2.7585144 ]	[ 40.94657127  -2.7585144 ]	315.186
6600	EXPLORATION	0.90798	0	0.1	[ 206.85488892  217.87611389]	[ 203.22573044  217.87611389]	107.743
6700	EXPLORATION	0.90598	0	0.1	[ 282.98779297  288.64379883]	[ 279.13863617  288.64379883]	202.429
6800	EXPLORATION	0.90398	0	0.1	[ 298.74520874  327.25341797]	[ 261.86101196  327.25341797]	326.148
6900	EXPLORATION	0.90198	0	0.1	[ 246.80984497  248.38595581]	[ 255.17376587  248.38595581]	80.1679
7000	EXPLORATION	0.89998	0	0.1	[ 77.84618378  91.02180481]	[ 70.5973024   91.02180481]	44.636
7100	EXPLORATION	0.89798	1	0.1	[ 91.30282593  88.17069244]	[ 94.61185699  88.17069244]	61.5978
7200	EXPLORATION	0.89598	0	0.1	[ 143.28126526  139.47108459]	[ 138.61613037  139.47108459]	53.5818
7300	EXPLORATION	0.89398	0	0.1	[ 163.97055054  177.25498962]	[ 155.86162643  177.25498962]	36.8842
7400	EXPLORATION	0.89198	0	0.1	[ 144.15512085  147.42149353]	[ 144.60786911  147.42149353]	131.139
7500	EXPLORATION	0.88998	1	0.1	[ 218.36836243  226.36351013]	[ 225.38480545  226.36351013]	47.1224
7600	EXPLORATION	0.88798	0	0.1	[ 398.37545776  394.53063965]	[ 392.47792572  394.53063965]	213.715
7700	EXPLORATION	0.88598	0	0.1	[ 154.04553223  163.0990448 ]	[ 160.55104446  163.0990448 ]	59.3861
7800	EXPLORATION	0.88398	0	0.1	[ 71.32663727  81.22354126]	[ 71.32663727  78.21566177]	82.3331
7900	EXPLORATION	0.88198	0	0.1	[-31.82013702 -11.75582695]	[-31.82013702   2.2124186 ]	46.9027
8000	EXPLORATION	0.87998	0	0.1	[ 201.58583069  190.25250244]	[ 198.63761459  190.25250244]	111.71
8100	EXPLORATION	0.87798	0	0.1	[ 65.95572662  61.38441849]	[ 65.95572662  46.94361984]	51.4142
8200	EXPLORATION	0.87598	0	-1	[ 147.57246399  156.40159607]	[ 148.52238434  156.40159607]	55.1809
8300	EXPLORATION	0.87398	1	-1	[ 244.67242432  247.67759705]	[ 257.68689392  247.67759705]	73.9193
8400	EXPLORATION	0.87198	0	-1	[ 202.92457581  197.04138184]	[ 202.92457581  198.14030334]	79.3465
8500	EXPLORATION	0.86998	0	0.1	[ 118.78939819  136.36366272]	[ 117.65283203  136.36366272]	47.7812
8600	EXPLORATION	0.86798	0	0.1	[ 163.15538025  159.87527466]	[ 167.06444565  159.87527466]	48.3436
8700	EXPLORATION	0.86598	0	0.1	[  94.29639435  107.61679077]	[  89.17546753  107.61679077]	17.0648
8800	EXPLORATION	0.86398	1	0.1	[ 28.66933823  25.55228615]	[ 28.66933823  40.31933914]	35.9443
8900	EXPLORATION	0.86198	1	0.1	[ 114.84011841  116.31589508]	[ 121.83011963  116.31589508]	32.4707
9000	EXPLORATION	0.85998	0	0.1	[  3.40854502  10.54774857]	[ -2.97606441  10.54774857]	39.4228
9100	EXPLORATION	0.85798	0	0.1	[ 112.78279877  118.70482635]	[ 110.08047104  118.70482635]	35.8307
9200	EXPLORATION	0.85598	0	0.1	[ 48.93123627  49.02994537]	[ 44.81911392  49.02994537]	18.3675
9300	EXPLORATION	0.85398	0	0.1	[ 20.88585854   8.72763252]	[ 17.6836937    8.72763252]	28.4882
